date,forward_price
2024-01-01,33.77
2024-01-02,33.810239536097214
2024-01-03,33.85095436625106
2024-01-04,33.891189493216004
2024-01-05,33.9300620832892
2024-01-06,33.61676146625795
2024-01-07,33.65054913535265
2024-01-08,34.03075874720502
2024-01-09,34.05679612181154
2024-01-10,34.07813924250176
2024-01-11,34.09433825591177
2024-01-12,34.10501547196213
2024-01-13,33.75986536384053
2024-01-14,33.75865456798892
2024-01-15,34.10122188409485
2024-01-16,34.08747827508698
2024-01-17,34.06740686713466
2024-01-18,34.04106294965117
2024-01-19,34.00857397530086
2024-01-20,33.62013956000961
2024-01-21,33.57603148297883
2024-01-22,33.87659368670254
2024-01-23,33.82224227698765
2024-01-24,33.76346552297702
2024-01-25,33.70082385717533
2024-01-26,33.634949875477574
2024-01-27,33.216548337199946
2024-01-28,33.14639616511306
2024-01-29,33.425342445477284
2024-01-30,33.35430842808011
2024-01-31,33.28428752627532
2024-02-01,33.2163453170239
2024-02-02,33.15143022751898
2024-02-03,32.739778442697286
2024-02-04,32.681434329045196
2024-02-05,32.97643295999222
2024-02-06,32.92480011595826
2024-02-07,32.87655228440167
2024-02-08,32.83169665986805
2024-02-09,32.7902311440397
2024-02-10,32.40214434578541
2024-02-11,32.36741558121069
2024-02-12,32.68601487370816
2024-02-13,32.657902954008065
2024-02-14,32.63303126022874
2024-02-15,32.611341937926916
2024-02-16,32.59276784014783
2024-02-17,32.227232527474925
2024-02-18,32.2146502680791
2024-02-19,32.55492603776737
2024-02-20,32.547955520030875
2024-02-21,32.54362510609212
2024-02-22,32.541811894951316
2024-02-23,32.54238369343181
2024-02-24,32.195199016224464
2024-02-25,32.200107085930874
2024-02-26,32.55694783310539
2024-02-27,32.56555189629592
2024-02-28,32.57574062208326
2024-02-29,32.58732606511909
2024-03-01,32.600110988162406
2024-03-02,32.263915039715855
2024-03-03,32.278655370892295
2024-03-04,32.64427174969269
2024-03-05,32.66070090444174
2024-03-06,32.67787652381591
2024-03-07,32.6957292568697
2024-03-08,32.71418671305993
2024-03-09,32.3831734622682
2024-03-10,32.40261103482132
2024-03-11,32.77241792150978
2024-03-12,32.792509573604185
2024-03-13,32.812798402869674
2024-03-14,32.8331937815782
2024-03-15,32.85360204251879
2024-03-16,32.523926479005624
2024-03-17,32.54406734488405
2024-03-18,32.91392185453443
2024-03-19,32.93338418287386
2024-03-20,32.95234546535575
2024-03-21,32.97069379796725
2024-03-22,32.988314237224536
2024-03-23,32.65508880016601
2024-03-24,32.67089646434333
2024-03-25,33.03561316781031
2024-03-26,33.04911180910987
2024-03-27,33.061262247258725
2024-03-28,33.07193130173024
2024-03-29,33.080982752435084
2024-03-30,32.73827733970004
2024-03-31,32.7436727642448
2024-04-01,33.09702368715693
2024-04-02,33.09821797272373
2024-04-03,33.09728723101392
2024-04-04,33.094301263828534
2024-04-05,33.08933227531807
2024-04-06,32.73245487194863
2024-04-07,32.72374606246634
2024-04-08,33.06328525786034
2024-04-09,33.05115427132422
2024-04-10,33.03743731821611
2024-04-11,33.022221016017355
2024-04-12,33.0055943842901
